Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2005-2006,5919,Cowichan Valley,96,113,102,45,-26,14,994,666,328,3286,2774,512,854
2005-2006,5921,Nanaimo,321,148,183,86,283,553,2326,1374,952,5580,4600,980,2485
2005-2006,5923,Alberni-Clayoquot,22,31,19,7,-50,-47,251,219,32,1217,1300,-83,-98
2005-2006,5924,Strathcona,57,58,44,28,-5,10,791,588,203,1516,1352,164,377
2005-2006,5926,Comox Valley,88,82,61,39,-202,-174,1116,831,285,2142,1910,232,343
2005-2006,5927,Powell River,22,10,14,11,-13,2,194,152,42,861,741,120,164
2005-2006,5929,Sunshine Coast,48,28,36,7,-115,-66,341,173,168,1196,1096,100,202
2005-2006,5931,Squamish-Lillooet,177,121,32,35,507,560,770,467,303,1444,2040,-596,267
2005-2006,5933,Thompson-Nicola,195,99,111,78,-368,-239,1738,1788,-50,5490,4240,1250,961
2005-2006,5935,Central Okanagan,379,272,251,127,-131,100,3917,2379,1538,6308,4498,1810,3448
2005-2006,5937,North Okanagan,111,72,80,60,-47,12,1464,1153,311,3379,3163,216,539
2005-2006,5939,Columbia-Shuswap,83,43,38,23,-43,12,1047,856,191,2330,1982,348,551
2005-2006,5941,Cariboo,72,34,43,20,-160,-99,684,704,-20,2807,2701,106,-13
2005-2006,5943,Mount Waddington,5,17,16,10,-44,-50,101,124,-23,555,846,-291,-364
2005-2006,5945,Central Coast,5,20,0,0,-29,-44,24,28,-4,128,176,-48,-96
2005-2006,5947,Skeena-Queen Charlotte,38,5,10,3,-86,-46,148,185,-37,637,1004,-367,-450
2005-2006,5949,Kitimat-Stikine,56,43,18,16,-199,-184,304,549,-245,1201,1648,-447,-876
2005-2006,5951,Bulkley-Nechako,55,28,19,28,-92,-74,388,486,-98,1334,1634,-300,-472
2005-2006,5953,Fraser-Fort George,153,104,59,44,116,180,1299,1452,-153,3577,3578,-1,26
2005-2006,5955,Peace River,82,60,13,9,-147,-121,1767,1725,42,2202,1655,547,468
2005-2006,5957,Stikine,0,0,0,3,-11,-14,6,28,-22,52,32,20,-16
2005-2006,5959,Northern Rockies,12,0,2,0,20,34,313,348,-35,283,407,-124,-125
2006-2007,5900,British Columbia,37811,13259,6181,5798,8328,33263,58182,43177,15005,92794,92794,0,48268
2006-2007,5901,East Kootenay,98,38,61,17,102,206,1819,1272,547,1281,1305,-24,729
2006-2007,5903,Central Kootenay,136,83,43,37,-20,39,1470,887,583,1803,1871,-68,554
2006-2007,5905,Kootenay Boundary,37,40,16,18,38,33,594,388,206,1299,1197,102,341
2006-2007,5907,Okanagan-Similkameen,202,94,68,41,15,150,1501,952,549,3044,2865,179,878
2006-2007,5909,Fraser Valley,1430,577,216,243,287,1113,2742,2434,308,10358,8806,1552,2973
2006-2007,5915,Greater Vancouver,32245,9838,4252,4302,6098,28455,21604,17649,3955,18837,24771,-5934,26476
2006-2007,5917,Capital,1295,860,527,390,647,1219,6232,4102,2130,8291,7737,554,3903
2006-2007,5919,Cowichan Valley,125,132,63,57,46,45,1028,772,256,3331,3101,230,531
2006-2007,5921,Nanaimo,347,191,159,83,-64,168,2575,1381,1194,5602,4667,935,2297
2006-2007,5923,Alberni-Clayoquot,53,26,15,12,-5,25,304,219,85,1137,1336,-199,-89
2006-2007,5924,Strathcona,74,58,36,25,35,62,850,662,188,1589,1416,173,423
2006-2007,5926,Comox Valley,91,82,50,35,90,114,1200,934,266,2246,2000,246,626
2006-2007,5927,Powell River,49,20,20,8,-27,14,210,112,98,844,716,128,240
2006-2007,5929,Sunshine Coast,75,23,51,10,-1,92,330,163,167,1374,1097,277,536
2006-2007,5931,Squamish-Lillooet,182,116,55,51,481,551,945,434,511,1689,1840,-151,911
2006-2007,5933,Thompson-Nicola,180,159,63,67,136,153,2009,1559,450,5400,3983,1417,2020
2006-2007,5935,Central Okanagan,457,295,197,127,204,436,4436,2232,2204,5924,4740,1184,3824
2006-2007,5937,North Okanagan,141,82,77,36,82,182,1594,1079,515,3368,3233,135,832
2006-2007,5939,Columbia-Shuswap,80,85,35,38,24,16,1344,751,593,2245,2023,222,831
2006-2007,5941,Cariboo,60,86,33,39,29,-3,736,720,16,3033,2940,93,106
2006-2007,5943,Mount Waddington,15,31,10,12,10,-8,166,107,59,644,691,-47,4
