Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2019-2020,5945,Central Coast,3,4,4,3,0,0,29,12,17,120,108,12,29
2019-2020,5947,Skeena-Queen Charlotte,43,2,0,2,48,87,192,99,93,578,666,-88,92
2019-2020,5949,Kitimat-Stikine,74,23,10,17,183,227,468,324,144,1036,1053,-17,354
2019-2020,5951,Bulkley-Nechako,102,47,17,33,7,46,436,333,103,1050,1359,-309,-160
2019-2020,5953,Fraser-Fort George,326,61,37,44,372,630,929,905,24,2719,2653,66,720
2019-2020,5955,Peace River,309,46,18,33,-107,141,1121,1208,-87,1238,1812,-574,-520
2019-2020,5957,Stikine,4,0,0,0,-2,2,21,17,4,32,43,-11,-5
2019-2020,5959,Northern Rockies,27,4,6,3,-7,19,70,133,-63,97,176,-79,-123
2020-2021,5900,British Columbia,34388,7189,5418,3699,-7547,21371,59313,33937,25376,83092,83092,0,46747
2020-2021,5901,East Kootenay,169,80,43,42,-263,-173,1675,869,806,1094,971,123,756
2020-2021,5903,Central Kootenay,117,67,56,34,-120,-48,1235,592,643,1486,1548,-62,533
2020-2021,5905,Kootenay Boundary,58,13,9,6,32,80,436,254,182,1206,853,353,615
2020-2021,5907,Okanagan-Similkameen,120,82,51,43,128,174,1544,717,827,2914,2244,670,1671
2020-2021,5909,Fraser Valley,950,216,167,103,-170,628,2889,2015,874,10592,8075,2517,4019
2020-2021,5915,Greater Vancouver,27998,5061,3818,2609,-4081,20065,25086,16039,9047,14768,27835,-13067,16045
2020-2021,5917,Capital,1646,532,437,279,-1083,189,6995,2927,4068,8419,6868,1551,5808
2020-2021,5919,Cowichan Valley,92,78,64,39,-65,-26,1022,483,539,3114,2541,573,1086
2020-2021,5921,Nanaimo,363,147,111,74,-521,-268,2337,1051,1286,5759,3899,1860,2878
2020-2021,5923,Alberni-Clayoquot,65,2,8,1,16,86,337,155,182,1204,877,327,595
2020-2021,5924,Strathcona,75,33,30,17,-14,41,596,275,321,1790,1334,456,818
2020-2021,5926,Comox Valley,109,63,64,32,-108,-30,1165,606,559,2552,1796,756,1285
2020-2021,5927,Powell River,17,21,13,10,1,0,218,80,138,639,454,185,323
2020-2021,5929,Sunshine Coast,73,49,43,26,-11,30,229,154,75,1384,905,479,584
2020-2021,5931,Squamish-Lillooet,562,131,77,67,-935,-494,836,422,414,1756,1798,-42,-122
2020-2021,5933,Thompson-Nicola,281,120,68,61,-541,-373,1517,1027,490,4280,3520,760,877
2020-2021,5935,Central Okanagan,686,135,211,70,372,1064,5132,2077,3055,6342,4533,1809,5928
2020-2021,5937,North Okanagan,121,117,60,60,-104,-100,1411,697,714,3177,2361,816,1430
2020-2021,5939,Columbia-Shuswap,162,39,34,20,-92,45,1188,590,598,2081,1616,465,1108
2020-2021,5941,Cariboo,95,37,13,20,28,79,411,335,76,2097,1781,316,471
2020-2021,5943,Mount Waddington,10,10,0,5,-5,-10,143,41,102,437,424,13,105
2020-2021,5945,Central Coast,3,6,0,3,4,-2,10,10,0,136,80,56,54
2020-2021,5947,Skeena-Queen Charlotte,42,0,0,0,94,136,154,97,57,411,475,-64,129
2020-2021,5949,Kitimat-Stikine,67,36,8,18,46,67,509,260,249,847,893,-46,270
2020-2021,5951,Bulkley-Nechako,65,15,4,8,188,234,348,256,92,1059,1065,-6,320
2020-2021,5953,Fraser-Fort George,191,49,21,25,-353,-215,875,816,59,2265,2479,-214,-370
2020-2021,5955,Peace River,232,42,8,22,11,187,907,1004,-97,1116,1675,-559,-469
2020-2021,5957,Stikine,7,0,0,0,-2,5,22,12,10,31,34,-3,12
2020-2021,5959,Northern Rockies,12,8,0,5,1,0,86,76,10,136,158,-22,-12
2021-2022,5900,British Columbia,83200,10006,6253,6076,30303,103674,70788,54919,15869,86521,86521,0,119543
2021-2022,5901,East Kootenay,393,111,50,68,-38,226,1974,1377,597,1176,974,202,1025
2021-2022,5903,Central Kootenay,438,92,64,56,19,373,1451,928,523,1566,1555,11,907
2021-2022,5905,Kootenay Boundary,157,17,10,10,-53,87,517,423,94,1271,897,374,555
2021-2022,5907,Okanagan-Similkameen,421,115,59,70,78,373,1764,1179,585,3037,2303,734,1692
2021-2022,5909,Fraser Valley,3428,299,192,181,188,3328,3428,3685,-257,11184,8527,2657,5728
2021-2022,5915,Greater Vancouver,65975,7052,4399,4285,24969,84006,29701,25531,4170,14894,29221,-14327,73849
2021-2022,5917,Capital,3742,734,507,446,2830,5899,8295,4628,3667,8425,7106,1319,10885
2021-2022,5919,Cowichan Valley,274,107,74,66,154,329,1209,788,421,3346,2568,778,1528
2021-2022,5921,Nanaimo,884,204,127,123,236,920,2821,1743,1078,5959,4068,1891,3889
2021-2022,5923,Alberni-Clayoquot,158,3,10,2,31,194,411,258,153,1267,913,354,701
2021-2022,5924,Strathcona,161,46,35,27,54,177,706,455,251,1894,1386,508,936
2021-2022,5926,Comox Valley,308,88,74,54,60,300,1424,1061,363,2684,1855,829,1492
2021-2022,5927,Powell River,61,29,15,17,49,79,262,153,109,688,455,233,421
2021-2022,5929,Sunshine Coast,123,70,50,42,117,178,283,249,34,1463,949,514,726
2021-2022,5931,Squamish-Lillooet,1028,182,89,110,-358,467,1002,632,370,1804,1848,-44,793
2021-2022,5933,Thompson-Nicola,818,167,79,102,1136,1764,1883,1606,277,4360,3603,757,2798
2021-2022,5935,Central Okanagan,2021,189,245,114,590,2553,6221,3451,2770,6606,4887,1719,7042
2021-2022,5937,North Okanagan,456,164,69,99,149,411,1778,1118,660,3448,2472,976,2047
2021-2022,5939,Columbia-Shuswap,374,54,40,32,15,343,1415,950,465,2251,1636,615,1423
2021-2022,5941,Cariboo,206,53,15,32,-64,72,533,542,-9,2270,1821,449,512
2021-2022,5943,Mount Waddington,16,14,0,8,12,6,150,69,81,467,443,24,111
2021-2022,5945,Central Coast,4,8,0,5,1,-8,28,11,17,161,90,71,80
2021-2022,5947,Skeena-Queen Charlotte,93,0,0,0,33,126,191,179,12,428,495,-67,71
2021-2022,5949,Kitimat-Stikine,238,49,10,30,172,341,607,448,159,908,964,-56,444
2021-2022,5951,Bulkley-Nechako,178,20,5,12,21,172,456,421,35,1103,1099,4,211
2021-2022,5953,Fraser-Fort George,682,68,25,42,-164,433,1019,1314,-295,2473,2537,-64,74
2021-2022,5955,Peace River,534,59,10,36,76,525,1140,1559,-419,1212,1647,-435,-329
2021-2022,5957,Stikine,2,0,0,0,0,2,35,19,16,33,36,-3,15
2021-2022,5959,Northern Rockies,27,12,0,7,-10,-2,84,142,-58,143,166,-23,-83
