id,host_location,host_neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,availability_365
9.13831035710112e+17,,Central Vancouver,West End,49.28557,-123.13194,Private House,Entire home/apt,2,1,1,$124.00,179
9.13972308748448e+17,"Vancouver, Canada",Downtown Vancouver,Oakridge,49.2271056,-123.1175395,Private House,Entire home/apt,2,1,1,$79.00,233
9.14167814583407e+17,,Central Vancouver,Downtown,49.2855796743058,-123.122150237685,Private House,Entire home/apt,3,1,2,$120.00,138
9.14558293896528e+17,"Vancouver, Canada",West Side,Marpole,49.2129684531402,-123.135390585301,Private Guest Suite,Entire home/apt,2,3,1,$129.00,170
9.14640809963596e+17,,Central Vancouver,Downtown,49.27294,-123.11997,Private House,Entire home/apt,2,2,2,$316.00,364
9.14730459355302e+17,,Marpole,Marpole,49.2115381,-123.1319447,Private Room,Private room,2,1 shared,1,$51.00,334
9.14828199130851e+17,"Vancouver, Canada",Central Vancouver,Downtown,49.2730615750136,-123.129674957672,Private House,Entire home/apt,4,2,2,$843.00,344
9.15129097516641e+17,"Vancouver, Canada",Hastings-Sunrise,Downtown,49.2775648,-123.1273401,Private Room,Private room,2,1 shared,1,$69.00,130
9.15168220267064e+17,"Vancouver, Canada",Dunbar-Southlands,Downtown,49.27482,-123.1242,Private Room,Private room,1,1 shared,1,$69.00,225
9.15368159269183e+17,,East Vancouver,Hastings-Sunrise,49.2686718,-123.0394189,Private Guest Suite,Entire home/apt,4,1.5,3,$200.00,353
9.15384768520469e+17,"North Vancouver, Canada",Downtown,Hastings-Sunrise,49.2669112567689,-123.046673661153,Private Guest Suite,Entire home/apt,4,1,2,$99.00,108
9.15412544769854e+17,"Vancouver, Canada",East Vancouver,Sunset,49.2233071828134,-123.09007220751,Private House,Entire home/apt,2,1,1,$99.00,140
9.15541357550372e+17,"Vancouver, Canada",Central Vancouver,Downtown,49.2801311651383,-123.120674303752,Private House,Entire home/apt,2,1,1,$198.00,254
9.15946955843512e+17,,East Vancouver,Mount Pleasant,49.26598,-123.09976,Private House,Entire home/apt,2,1,1,$130.00,160
9.16052395996142e+17,"Vancouver, Canada",Knight,Kensington-Cedar Cottage,49.2512,-123.05945,Private House,Entire home/apt,6,2.5,3,$400.00,71
