Longitude,Latitude
-122.953167,49.210398
-122.950256,49.212611
-122.946489,49.214391
-122.943021,49.21627
-123.13575,49.16342
-123.136389,49.168113
-123.126832,49.195119
-123.179978,49.192839
-123.11788,49.284055
-123.136438,49.16418
-123.136397,49.169364
-123.136489,49.172376
-123.136633,49.174393
-123.136504,49.17774
-123.136492,49.180031
-123.136493,49.183917
-123.134315,49.186813
-123.132066,49.189129
-123.126645,49.191916
-123.124259,49.193083
-123.125864,49.192074
-123.130861,49.192077
-123.141988,49.191863
-123.149378,49.192228
-123.160112,49.193302
-123.166999,49.193302
-123.174766,49.191339
-123.168739,49.192131
-123.16663,49.19211
-123.163918,49.19212
-123.159503,49.192065
-123.156142,49.192037
-123.153001,49.192067
-123.148208,49.192045
-123.145745,49.192034
-123.138406,49.264166
-123.116839,49.209092
-123.135845,49.20366
-123.11242,49.283796
-123.127493,49.278073
-123.123101,49.283562
-123.139775,49.233799
-123.126566,49.195235
-123.119595,49.282906
-123.121239,49.281831
-123.124449,49.279698
-123.127034,49.277974
-123.138572,49.266704
-123.138634,49.26511
-123.138707,49.263073
-123.138768,49.261424
-123.138834,49.259524
-123.138899,49.257667
-123.13903,49.254178
-123.139073,49.252781
-123.139186,49.2505
-123.139224,49.248838
-123.139304,49.247117
-123.139372,49.244799
-123.139423,49.243257
-123.139454,49.241525
-123.139528,49.239615
-123.139593,49.237706
-123.139659,49.235947
-123.139751,49.235048
-123.139799,49.232098
-123.139857,49.230342
-123.139921,49.228469
-123.139991,49.226415
-123.140097,49.223822
-123.140195,49.221382
-123.140281,49.219566
-123.140361,49.217067
-123.140408,49.215526
-123.140485,49.213531
-123.140547,49.211828
-123.140591,49.210196
-123.140711,49.20811
-123.140764,49.205733
-123.141337,49.19205
-123.13225,49.190901
-123.133706,49.187772
-123.135504,49.185933
-123.136747,49.184003
-123.136794,49.182385
-123.136785,49.179089
-123.136792,49.176892
-123.136923,49.175085
-123.13683,49.172874
-123.136683,49.169807
-123.13673,49.165716
-123.140853,49.21392
-123.132871,49.20325
-123.116116,49.209383
-123.134919,49.202765
-123.113429,49.283818
-123.115939,49.284039
-123.117951,49.28266
-123.119373,49.28172
-123.120573,49.280961
-123.123712,49.278877
-123.126905,49.276786
-123.128244,49.275928
-123.136699,49.203585
-123.130671,49.204348
-123.125689,49.206439
-123.123861,49.207179
-123.120741,49.208502
-123.118587,49.209394
-123.137377,49.263484
-123.120173,49.263212
-123.114283,49.263107
-123.10042,49.262801
-123.088379,49.26236
-123.076191,49.262263
-123.069598,49.263425
-123.241849,49.266827
-123.208525,49.263764
-123.184623,49.264263
-123.167357,49.263995
-123.152005,49.263703
-123.055558,49.261889
-123.051333,49.261916
-123.043749,49.261812
