TypeOfWork,IssueYear,geo_point_2d,PostalCode
New Building,2018,"49.2468038, -123.0863867",V1V 1V1
Addition / Alteration,2017,"49.209698, -123.1161309",V5X 0C3
New Building,2018,"49.2645209, -123.1373855",V6H 1C9
Addition / Alteration,2023,"49.278196, -123.1135755",N/A
Addition / Alteration,2023,"49.2865408, -123.1123825",V6C 1S4
Addition / Alteration,2023,"49.2499827, -123.0387216",V5R 2E6
Addition / Alteration,2023,"49.2691, -123.1105968",V5Y 1C7
Addition / Alteration,2023,"49.287517, -123.1172287",V6C 0C5
Addition / Alteration,2023,"49.2585088, -123.0838659",V5T 2L6
Salvage and Abatement,2023,"49.2541224, -123.0992503",V5V 1J3
Addition / Alteration,2023,"49.2678612, -123.1517534",V6J 1M9
Addition / Alteration,2023,"49.2774963, -123.1295774",N/A
Addition / Alteration,2023,"49.2795478, -123.1250763",V6Z 2A9
Addition / Alteration,2023,"49.2906129, -123.1442527",V6G 1T9
Salvage and Abatement,2023,"49.2517288, -123.1902097",V6S 1K9
Addition / Alteration,2023,"49.2753382, -123.122589",V6B 2X6
Addition / Alteration,2023,"49.2250458, -123.0779238",V5W 2J5
Addition / Alteration,2023,"49.2633795, -123.1286336",V6H 1E6
Addition / Alteration,2023,"49.2570892, -123.0571282",V5N 5G4
Addition / Alteration,2023,"49.2505484, -123.1225331",V5Z 2A9
Salvage and Abatement,2023,"49.2563497, -123.0541257",V5M 2K1
Demolition / Deconstruction,2024,"49.2476376, -123.0356576",V5R 1J6
Addition / Alteration,2023,"49.2594257, -123.1294826",V6H 3N6
Salvage and Abatement,2023,"49.2155773, -123.1005737",V5X 1Z7
Addition / Alteration,2023,"49.2635524, -123.1546968",V6K 2E1
Addition / Alteration,2023,"49.2335305, -123.0251766",V5R 4R2
Addition / Alteration,2023,"49.2828875, -123.1068685",V6B 0G6
New Building,2024,"49.2430032, -123.1734091",V6L 2C1
Demolition / Deconstruction,2023,"49.2238842, -123.0936037",V5X 1E1
Addition / Alteration,2023,"49.284199, -123.1120152",N/A
Temporary Building / Structure,2023,"49.2803822, -123.1116466",V6B 1X7
New Building,2023,"49.2404683, -123.0975799",N/A
New Building,2024,"49.2552787, -123.112514",V5Y 3S1
New Building,2024,"49.2653457, -123.0438135",V5M 3J5
Addition / Alteration,2023,"49.2630118, -123.1210731",V5Z 1G8
New Building,2023,"49.2404679, -123.0975579",V5V 2Z8
Temporary Building / Structure,2023,,N/A
Addition / Alteration,2023,"49.2149912, -123.0245252",V5S 3X2
Demolition / Deconstruction,2017,"49.2681591, -123.1719862",V6K 1R4
Addition / Alteration,2017,"49.2609394, -123.1163251",V5Z 3X7
Demolition / Deconstruction,2018,"49.2635962, -123.0417681",V5M 1V3
New Building,2018,"49.2635096, -123.041592",V1V 1V1
Addition / Alteration,2018,"49.2802219, -123.1128722",N/A
New Building,2018,"49.2516149, -123.167597",V1V 1V1
Addition / Alteration,2017,"49.2658818, -123.0900519",V5T 1J2
Addition / Alteration,2023,"49.244091, -123.0960185",V5V 2T6
Addition / Alteration,2023,"49.2336302, -123.0639836",V5P 1J3
New Building,2023,"49.2429485, -123.0522436",V5R 3K7
Addition / Alteration,2023,"49.2400815, -123.137764",V6M 4H2
Addition / Alteration,2023,"49.2221623, -123.0281286",V5S 3N9
Addition / Alteration,2023,"49.234253, -123.1547628",N/A
Addition / Alteration,2023,"49.2577677, -123.1535956",V6J 3Z3
Addition / Alteration,2024,"49.2715939, -123.1659236",V6K 3V3
Addition / Alteration,2023,"49.2876113, -123.1197519",V6E 2M6
New Building,2024,"49.2760379, -123.0504015",V5K 2T5
Addition / Alteration,2023,"49.2849695, -123.1193112",V6C 2X8
Addition / Alteration,2023,"49.2800024, -123.124897",V6Z 2H2
Demolition / Deconstruction,2023,"49.2429485, -123.0522436",V5R 3K7
Addition / Alteration,2023,"49.2638751, -123.1260888",V5Z 1K5
Demolition / Deconstruction,2024,"49.2296493, -123.1023032",V5W 1W8
Salvage and Abatement,2023,"49.2296493, -123.1023032",V5W 1W8
Addition / Alteration,2023,"49.236414, -123.1770093",V6N 1K9
Addition / Alteration,2023,"49.2614669, -123.1236005",V5Z 1M9
Addition / Alteration,2023,"49.2808834, -123.0510416",V5K 0A4
Addition / Alteration,2023,"49.252872, -123.077284",V5V 1P4
Addition / Alteration,2023,"49.2869048, -123.1196033",V6E 3S7
Addition / Alteration,2023,"49.2638869, -123.1016071",V5T 1R8
Addition / Alteration,2023,"49.2811953, -123.0245416",N/A
Addition / Alteration,2023,"49.2467986, -123.0451323",V5R 2B9
Addition / Alteration,2023,"49.2198634, -123.1604069",V6P 6K4
Addition / Alteration,2024,"49.2339191, -123.0347076",V5R 5K6
Salvage and Abatement,2023,"49.2422542, -123.0704001",V5N 3X8
Demolition / Deconstruction,2024,"49.2421189, -123.0703949",V5N 3X8
Salvage and Abatement,2023,"49.2526292, -123.0524664",V5M 2T5
Salvage and Abatement,2023,"49.2710877, -123.0416613",V5K 3H5
Addition / Alteration,2023,"49.2768557, -123.1315506",V6Z 2H3
Demolition / Deconstruction,2024,"49.2426856, -123.1947117",V6N 2H9
Demolition / Deconstruction,2024,"49.2519656, -123.0499402",V5M 3G1
Salvage and Abatement,2023,"49.2519656, -123.0499402",V5M 3G1
Addition / Alteration,2023,"49.2704368, -123.1344532",V6H 4G9
Addition / Alteration,2023,"49.2861265, -123.1198029",V7X 1K8
Salvage and Abatement,2017,"49.2264038, -123.1028764",V5W 2C8
Addition / Alteration,2017,"49.281273, -123.1310163",V6E 1L4
Addition / Alteration,2017,"49.2754048, -123.1244125",V6B 6M6
Addition / Alteration,2023,"49.2806136, -123.1289132",V6Z 1Y6
Addition / Alteration,2023,"49.2345194, -123.0257585",V5R 0A2
Addition / Alteration,2023,"49.28134, -123.114603",V6B 5A1
Addition / Alteration,2023,"49.2557614, -123.0962221",V5V 3X5
Addition / Alteration,2023,"49.2563744, -123.1046175",V5V 3E5
Addition / Alteration,2023,"49.2698838, -123.1159889",V5Z 4K6
Addition / Alteration,2023,"49.2576348, -123.130555",V6H 3X1
Addition / Alteration,2024,"49.2580254, -123.1572198",V6K 2Y7
Addition / Alteration,2024,"49.2343463, -123.1582992",V6M 1Z1
Demolition / Deconstruction,2024,"49.2525938, -123.1812439",V6S 1J2
Salvage and Abatement,2023,"49.2525938, -123.1812439",V6S 1J2
Addition / Alteration,2023,"49.2709807, -123.0608224",V5L 2Z4
Addition / Alteration,2023,"49.2844535, -123.1402203",V6G 2J2
Addition / Alteration,2024,"49.2592546, -123.0365226",V5M 2E9
Salvage and Abatement,2023,"49.2267538, -123.0804519",V5W 2C3
New Building,2024,"49.2634503, -123.0591701",V5N 1V4
Addition / Alteration,2023,"49.2830624, -123.132596",V6E 1L7
Salvage and Abatement,2023,"49.2425993, -123.0744842",V5N 3R8
Addition / Alteration,2024,"49.255088, -123.1120737",V5Y 2A8
Addition / Alteration,2024,"49.2394714, -123.1429506",V6M 3G2
New Building,2024,"49.2259913, -123.0610074",V5P 1S1
Addition / Alteration,2023,"49.2854092, -123.1219503",V6P 3P3
Salvage and Abatement,2023,"49.260737, -123.0706891",V5N 1Y8
Addition / Alteration,2023,"49.2662744, -123.1588711",V6K 1V9
Addition / Alteration,2023,"49.2644805, -123.1766614",V6K 2H5
Addition / Alteration,2023,"49.2855623, -123.1148625",V6C 1A5
New Building,2023,"49.2664017, -123.0465215",V5M 1K8
Addition / Alteration,2023,"49.2519435, -123.1012956",V5V 3N6
Addition / Alteration,2023,"49.2648839, -123.1355743",V6H 3V9
New Building,2024,"49.2359563, -123.0956625",V5W 1H7
Addition / Alteration,2023,"49.2533968, -123.0680761",N/A
Addition / Alteration,2024,"49.2446134, -123.0938145",N/A
Addition / Alteration,2023,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2023,"49.2804467, -123.1226431",V6Z 2M4
Addition / Alteration,2023,"49.2092609, -123.0861483",N/A
Demolition / Deconstruction,2024,"49.221146, -123.0926084",V5X 1L5
Addition / Alteration,2023,"49.2905353, -123.1355427",V6G 1H2
New Building,2024,"49.2459897, -123.0294593",V5R 1P7
Addition / Alteration,2024,"49.2437653, -123.0683273",V5N 4G8
Addition / Alteration,2024,"49.2709434, -123.1473873",V6J 5J1
Demolition / Deconstruction,2024,"49.2634503, -123.0591701",V5N 1V4
Salvage and Abatement,2024,"49.2215496, -123.0792144",V5X 4J6
New Building,2024,"49.2145087, -123.0869993",V5X 2C3
Addition / Alteration,2023,"49.2909906, -123.1374253",V6G 2Y7
Salvage and Abatement,2023,"49.2382367, -123.1195617",V5Z 1K6
Addition / Alteration,2024,"49.2674882, -123.2064005",V6R 1V2
Salvage and Abatement,2023,"49.2517222, -123.1108411",V5Y 2E5
Addition / Alteration,2023,"49.2832915, -123.0909934",V6A 1H2
Salvage and Abatement,2024,"49.2387492, -123.0876612",V5W 3C6
Salvage and Abatement,2023,"49.2179297, -123.0845888",V5X 1T6
Addition / Alteration,2024,"49.2590505, -123.1002884",V5T 2K4
Addition / Alteration,2023,"49.2853971, -123.1154225",V6C 1H2
Salvage and Abatement,2023,"49.2259913, -123.0610074",V5P 1S1
Salvage and Abatement,2023,"49.2631863, -123.210712",V6R 2M5
Addition / Alteration,2023,"49.2616464, -123.1510772",V6J 2C9
Salvage and Abatement,2023,"49.2388634, -123.1904393",V6N 2W2
Salvage and Abatement,2023,"49.2238277, -123.0895031",V5X 1E2
Addition / Alteration,2024,"49.2819421, -123.108491",V6B 1G8
Addition / Alteration,2024,"49.2283175, -123.0914686",N/A
Addition / Alteration,2024,"49.2582847, -123.1853211",N/A
Addition / Alteration,2024,"49.2638642, -123.1358433",V6H 1G9
Salvage and Abatement,2024,"49.2397307, -123.1218718",V5Z 3L7
New Building,2024,"49.2670114, -123.2067727",V6R 1V3
Salvage and Abatement,2023,"49.243304, -123.0935548",V5V 2V6
Salvage and Abatement,2023,"49.2516161, -123.1052029",V5Y 2C9
Addition / Alteration,2023,"49.2833965, -123.117746",N/A
Salvage and Abatement,2024,"49.2554799, -123.1041789",V5V 1A2
Addition / Alteration,2023,"49.26494, -123.1828704",V6R 1Y7
Salvage and Abatement,2023,"49.2131917, -123.0866016",V5X 2K9
Addition / Alteration,2023,"49.2798928, -123.137382",V6E 1V4
Addition / Alteration,2024,"49.2285837, -123.1614659",V6M 2N2
Demolition / Deconstruction,2024,"49.211796, -123.0939622",V5X 3S3
Addition / Alteration,2024,"49.2686634, -123.170609",V6K 1R3
Salvage and Abatement,2023,"49.2788379, -123.0457432",V5K 2G5
Addition / Alteration,2024,"49.2455931, -123.1262048",V6H 3V4
Addition / Alteration,2024,"49.2660046, -123.0418893",V5M 1N6
Demolition / Deconstruction,2024,"49.2607007, -123.0571052",V5N 5E8
Addition / Alteration,2024,"49.27652, -123.1188691",N/A
Addition / Alteration,2023,"49.2829572, -123.0996592",N/A
Addition / Alteration,2024,"49.2781179, -123.1241481",V6B 5R1
Addition / Alteration,2023,"49.2092609, -123.0861483",N/A
Addition / Alteration,2024,"49.278937, -123.126832",V6Z 2L4
Addition / Alteration,2024,"49.2512368, -123.1539138",V6L 3E2
New Building,2024,"49.2159753, -123.0959514",N/A
Addition / Alteration,2024,"49.2623503, -123.1371732",V6H 1J9
Addition / Alteration,2024,"49.2411449, -123.1825983",V6N 2K8
Salvage and Abatement,2024,"49.2640663, -123.207472",V6R 2H8
Addition / Alteration,2024,"49.2826659, -123.1153451",V6B 1Y1
New Building,2018,"49.2350253, -123.0662569",V5P 1G7
Salvage and Abatement,2017,"49.2350253, -123.0662569",V5P 1G7
Addition / Alteration,2017,"49.2557863, -123.185182",N/A
New Building,2018,"49.2535202, -123.1860221",V6S 1H3
Salvage and Abatement,2017,"49.2535202, -123.1860221",V6S 1H3
Addition / Alteration,2017,"49.2741066, -123.1011334",V6A 4B3
Addition / Alteration,2024,"49.2735334, -123.0692351",V5L 3X4
Addition / Alteration,2024,"49.2611378, -123.1150707",N/A
Addition / Alteration,2024,"49.2726304, -123.0968149",V6A 2L7
Addition / Alteration,2024,"49.250639, -123.0341929",N/A
Addition / Alteration,2024,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2024,"49.2513022, -123.1831764",V6S 1L5
Salvage and Abatement,2024,"49.2626868, -123.0417848",V5M 1X1
Addition / Alteration,2024,"49.2626355, -123.0709402",V5N 1V9
Addition / Alteration,2024,"49.2631846, -123.1170819",N/A
Addition / Alteration,2023,"49.2859917, -123.1189647",N/A
Addition / Alteration,2024,"49.2620431, -123.0571162",V5N 1X1
Demolition / Deconstruction,2024,"49.234795, -123.1517504",N/A
Demolition / Deconstruction,2024,"49.2347964, -123.151462",V6M 1Y6
Addition / Alteration,2024,"49.2350131, -123.1727012",N/A
Addition / Alteration,2024,"49.2863299, -123.1233776",V6E 4M3
New Building,2024,"49.2143188, -123.1445391",V6P 2H7
Addition / Alteration,2024,"49.287517, -123.1172287",V6C 0C5
Salvage and Abatement,2023,"49.2532882, -123.1565623",V6L 1J5
Addition / Alteration,2024,"49.2803107, -123.1348001",V6E 2A3
Addition / Alteration,2024,"49.265653, -123.1418189",V6J 1S4
Addition / Alteration,2024,"49.2642906, -123.163581",V6K 2E9
Addition / Alteration,2024,"49.2855596, -123.1167869",V6C 1J9
Salvage and Abatement,2024,"49.2464329, -123.0462543",V5R 1N7
Addition / Alteration,2024,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2024,"49.2860578, -123.1175668",V6C 3A8
Addition / Alteration,2024,"49.2314318, -123.1842036",V6N 1V1
Addition / Alteration,2024,"49.2930294, -123.132117",V6G 3H3
Addition / Alteration,2024,"49.2795199, -123.0884128",V6A 1Y6
Addition / Alteration,2017,"49.2245017, -123.0332637",V5S 1L8
Addition / Alteration,2017,"49.2629298, -123.1396651",V6J 5L1
Temporary Building / Structure,2017,"49.2759373, -123.1431089",N/A
Addition / Alteration,2017,"49.2848767, -123.1178601",V6C 2E7
Addition / Alteration,2017,"49.2842916, -123.1165221",N/A
Salvage and Abatement,2017,"49.2223354, -123.0819513",V5X 4C9
Addition / Alteration,2017,"49.2822452, -123.1194942",V7Y 1K8
Addition / Alteration,2024,"49.2783987, -123.0366185",V5K 2K9
Addition / Alteration,2024,"49.27588, -123.1189277",N/A
Salvage and Abatement,2024,"49.2752147, -123.055552",V5K 2W2
Addition / Alteration,2024,"49.2721013, -123.1804843",V6R 1A6
Addition / Alteration,2024,"49.2678834, -123.1536205",V6K 1N6
Salvage and Abatement,2024,"49.2355952, -123.0416166",N/A
Addition / Alteration,2024,"49.259, -123.115108",N/A
Addition / Alteration,2024,"49.2809773, -123.0963748",V6A 1P4
Addition / Alteration,2024,"49.2779438, -123.1088639",V6B 0N8
Addition / Alteration,2024,"49.2865124, -123.1271872",V6E 1C3
Addition / Alteration,2024,"49.2614145, -123.2132499",V6R 2V6
Addition / Alteration,2024,"49.2327913, -123.1019012",V5W 4C7
Addition / Alteration,2024,"49.2427205, -123.1009928",V5V 3R7
Addition / Alteration,2024,"49.2841305, -123.1351688",V6G 2B2
Addition / Alteration,2024,"49.2832942, -123.1213394",V6Z 1S4
Addition / Alteration,2024,"49.2850927, -123.1175168",V6C 3B6
Salvage and Abatement,2024,"49.2351757, -123.0506365",V5R 3P1
Addition / Alteration,2024,"49.2649426, -123.0693245",V5N 4B5
Addition / Alteration,2024,"49.2797125, -123.1295737",V6E 1M5
Addition / Alteration,2024,"49.2619677, -123.1901253",V6R 2N9
Salvage and Abatement,2024,"49.2230906, -123.1346251",V6P 4K5
Addition / Alteration,2024,"49.2794382, -123.1084959",V6B 0J1
Addition / Alteration,2024,"49.28134, -123.114603",V6B 5A1
Addition / Alteration,2024,"49.2724089, -123.135584",V6H 3R9
Addition / Alteration,2024,"49.2626145, -123.1731621",V6K 2M5
Addition / Alteration,2024,"49.2609394, -123.1163251",V5Z 3X7
Addition / Alteration,2024,"49.209698, -123.1161309",V5X 0C3
Addition / Alteration,2017,"49.2257738, -123.1015416",N/A
New Building,2018,"49.2385194, -123.0777942",V1V 1V1
Demolition / Deconstruction,2018,"49.2544212, -123.1053438",V5Y 2A4
Addition / Alteration,2024,"49.2617699, -123.1386598",N/A
Addition / Alteration,2024,"49.24956, -123.1280329",V6H 2M7
Addition / Alteration,2024,"49.2878185, -123.1282059",V6E 4L5
Addition / Alteration,2024,"49.2720188, -123.1268071",V6Z 3C7
Addition / Alteration,2024,"49.2293526, -123.118795",V5Z 4R7
Temporary Building / Structure,2024,"49.243027, -123.1053238",N/A
Addition / Alteration,2024,"49.2448407, -123.1267045",V6H 3N1
Salvage and Abatement,2024,"49.2520003, -123.0495508",N/A
Addition / Alteration,2024,"49.2875202, -123.1149881",V6C 3L6
Addition / Alteration,2024,"49.2127276, -123.1085051",V5X 2P9
Addition / Alteration,2024,"49.283047, -123.1030071",V6A 1E7
Addition / Alteration,2024,"49.273632, -123.124811",V6B 6A8
Addition / Alteration,2024,"49.2822452, -123.1194942",V7Y 1K8
Addition / Alteration,2024,"49.2848767, -123.1178601",V6C 2E7
Addition / Alteration,2024,"49.2852119, -123.116245",V6C 2V6
Salvage and Abatement,2017,"49.2544212, -123.1053438",V5Y 2A4
Demolition / Deconstruction,2017,"49.2278037, -123.0498556",V5S 1C4
New Building,2018,"49.283684, -123.1361923",N/A
Addition / Alteration,2017,"49.2837069, -123.1249971",V6E 1W2
Addition / Alteration,2023,"49.2553805, -123.1028253",V5V 1A4
Salvage and Abatement,2022,"49.2409164, -123.0636051",V5N 3C2
New Building,2023,"49.2342096, -123.0990393",V5W 1L9
Salvage and Abatement,2022,"49.272434, -123.0437877",V5K 4C4
Salvage and Abatement,2022,"49.2526258, -123.0536616",V5M 2T5
Salvage and Abatement,2022,"49.2634466, -123.0590329",V5N 1V4
Demolition / Deconstruction,2022,"49.2729604, -123.0518339",V5K 3A5
Addition / Alteration,2022,"49.2051244, -123.133785",V6P 4J6
Addition / Alteration,2022,"49.2563175, -123.1240433",V5Z 3T9
Demolition / Deconstruction,2023,"49.2296588, -123.0673373",V5P 3R3
Salvage and Abatement,2022,"49.2296588, -123.0673373",V5P 3R3
New Building,2023,"49.2278495, -123.1033765",V5W 2A6
New Building,2023,"49.256236, -123.1570135",N/A
Addition / Alteration,2022,"49.2840411, -123.1233409",V6E 1A9
Salvage and Abatement,2022,"49.256564, -123.0832326",V5T 4B1
Addition / Alteration,2022,"49.2846812, -123.1118936",V6B 1M1
New Building,2023,"49.2472619, -123.0495885",N/A
Salvage and Abatement,2017,"49.2273169, -123.0514927",V5S 2R1
Salvage and Abatement,2018,"49.2572317, -123.0544268",V5M 2C8
Addition / Alteration,2017,"49.2731285, -123.1486132",V6J 3R3
Addition / Alteration,2017,"49.2756771, -123.101255",V6A 4K7
Addition / Alteration,2017,"49.2631523, -123.0867062",V5T 1T5
Addition / Alteration,2023,"49.2615093, -123.0543888",V5M 4T7
Addition / Alteration,2023,"49.2615041, -123.0545265",V5M 4V1
Addition / Alteration,2022,"49.2849763, -123.1324227",V6E 3T1
Addition / Alteration,2022,"49.2632821, -123.1158831",N/A
Addition / Alteration,2022,"49.2857716, -123.1315076",V6E 2B8
Demolition / Deconstruction,2018,"49.246845, -123.0327143",V5R 1L9
Addition / Alteration,2017,"49.2305028, -123.099875",V5W 1V8
Addition / Alteration,2022,"49.2827378, -123.133262",V6E 1L6
Addition / Alteration,2023,"49.225382, -123.0538668",V5S 1J9
Addition / Alteration,2022,"49.273726, -123.1259731",V6B 5M5
Salvage and Abatement,2022,"49.2571073, -123.11247",V5Y 1Z1
Addition / Alteration,2022,"49.2719592, -123.141183",V6J 4Z3
Salvage and Abatement,2022,"49.2421879, -123.0425559",V5R 3T2
New Building,2023,"49.2422082, -123.0362215",V5R 4Y2
Addition / Alteration,2022,"49.2628342, -123.1097094",V5Y 3W2
Addition / Alteration,2022,"49.2246275, -123.1015563",N/A
Addition / Alteration,2022,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2022,"49.2861365, -123.1146689",N/A
Salvage and Abatement,2023,"49.2451642, -123.0407183",V5R 1S5
Addition / Alteration,2022,"49.2656965, -123.1366644",V6H 4H4
Addition / Alteration,2022,"49.2096143, -123.1325749",V6P 4H9
Demolition / Deconstruction,2023,"49.2481464, -123.1098414",V5Y 2J6
Salvage and Abatement,2023,"49.2481464, -123.1098414",V5Y 2J6
Demolition / Deconstruction,2023,"49.2366695, -123.1833367",V6N 3A4
Addition / Alteration,2022,"49.27196, -123.1562146",V6K 1C5
Demolition / Deconstruction,2023,"49.2513165, -123.1868287",V6S 1L7
Salvage and Abatement,2023,"49.2380837, -123.0900372",V5W 2Y9
Demolition / Deconstruction,2024,"49.2626744, -123.0377191",V5M 1X6
Addition / Alteration,2022,"49.2791955, -123.0681076",V5L 3Z9
Addition / Alteration,2022,"49.276429, -123.1014142",V6A 0A1
Addition / Alteration,2022,"49.2833965, -123.117746",V7Y 1K8
New Building,2023,"49.2277358, -123.0971376",V5W 2B3
New Building,2024,"49.2303753, -123.1869459",V6N 1Y5
New Building,2023,"49.2215454, -123.0937226",N/A
Addition / Alteration,2022,"49.2810955, -123.1216408",V6Z 2L2
Addition / Alteration,2022,"49.2818014, -123.1180513",V6B 4N9
Salvage and Abatement,2022,"49.2440619, -123.0405963",V5R 3T1
New Building,2023,"49.2062246, -123.027401",N/A
Addition / Alteration,2022,"49.250987, -123.1227668",V5Z 2B1
Addition / Alteration,2022,"49.2849857, -123.1108163",V6B 5C6
New Building,2024,"49.2477104, -123.1036612",V5V 3L1
Addition / Alteration,2023,"49.2912339, -123.1350197",N/A
Salvage and Abatement,2022,"49.2684135, -123.0671129",N/A
Addition / Alteration,2022,"49.2693393, -123.1068665",V5Y 1B8
Salvage and Abatement,2022,"49.2314516, -123.1046756",V5W 1S3
Addition / Alteration,2022,"49.2833965, -123.117746",V7Y 1K8
Temporary Building / Structure,2022,"49.2615376, -123.1130102",N/A
Addition / Alteration,2022,"49.2120725, -123.0304073",V5S 4K3
Addition / Alteration,2023,"49.2561342, -123.0903336",V5V 4B8
Addition / Alteration,2023,"49.2182301, -123.0428395",N/A
Demolition / Deconstruction,2023,"49.2560077, -123.1568764",V6L 1A6
Salvage and Abatement,2022,"49.2643656, -123.0597028",V5N 1S8
Demolition / Deconstruction,2023,"49.217841, -123.1010088",V5X 1V8
Demolition / Deconstruction,2023,"49.2464752, -123.040566",V5R 1P1
Demolition / Deconstruction,2023,"49.2593049, -123.1678556",V6K 2X2
Addition / Alteration,2023,"49.2775798, -123.1134352",V6B 2M1
Addition / Alteration,2017,"49.2640908, -123.1725452",V6K 2H1
Salvage and Abatement,2017,"49.2678254, -123.0383245",V5M 1J3
New Building,2017,"49.2678168, -123.0383388",V1V 1V1
Addition / Alteration,2017,"49.2177622, -123.0618302",V5P 4G8
Addition / Alteration,2017,"49.2861265, -123.1198029",V7X 1K8
New Building,2017,"49.2455468, -123.0626255",V1V 1V1
Addition / Alteration,2017,"49.2583969, -123.153036",N/A
Salvage and Abatement,2017,"49.2455551, -123.0625975",V5N 2X9
Addition / Alteration,2017,"49.2866198, -123.1170233",V6C 3A6
New Building,2018,"49.2899725, -123.1310471",V6G 1A5
Salvage and Abatement,2017,"49.2336795, -123.1175014",V1V 1V1
Addition / Alteration,2017,"49.2835138, -123.1066206",N/A
New Building,2017,"49.2307244, -123.0817123",V1V 1V1
Addition / Alteration,2017,"49.2623288, -123.2134285",V6R 2R7
New Building,2018,"49.2465608, -123.0724217",V5N 3W4
Addition / Alteration,2017,"49.2865369, -123.1189802",V7X 1M3
Addition / Alteration,2017,"49.2865369, -123.1189802",V7X 1M3
Demolition / Deconstruction,2023,"49.2152995, -123.1016341",V5X 3K3
Salvage and Abatement,2022,"49.2407743, -123.1939484",V6N 2P4
Demolition / Deconstruction,2024,"49.2816622, -123.1007435",V6A 1N6
New Building,2022,"49.2623248, -123.213621",V6R 2R7
Addition / Alteration,2022,"49.2432662, -123.0894788",V5V 2V9
Addition / Alteration,2023,"49.2198053, -123.0963432",V5X 1N4
Addition / Alteration,2023,"49.209698, -123.1161309",V5X 0C4
Addition / Alteration,2022,"49.2239194, -123.0955781",N/A
Addition / Alteration,2023,"49.2670043, -123.0251732",V5M 4Y3
New Building,2023,"49.2140542, -123.0845164",N/A
New Building,2023,"49.238295, -123.0771995",V5W 1C1
Demolition / Deconstruction,2023,"49.264445, -123.043816",V5M 3J7
Addition / Alteration,2022,"49.2835364, -123.1126147",N/A
Addition / Alteration,2022,"49.2757504, -123.1316465",V6Z 2S6
Addition / Alteration,2022,"49.2826661, -123.1123215",V6B 1T6
New Building,2023,"49.2227467, -123.051045",N/A
Addition / Alteration,2023,"49.2427363, -123.0852002",V5V 2X3
Addition / Alteration,2022,"49.2396781, -123.1453132",V6M 1H3
Addition / Alteration,2023,"49.2688365, -123.1395276",N/A
Addition / Alteration,2023,"49.2899353, -123.1400883",V6G 1N1
Outdoor Uses (No Buildings Proposed),2024,"49.273378, -123.1008354",V6A 4G7
Outdoor Uses (No Buildings Proposed),2024,"49.2741091, -123.1012294",V6A 4B2
Demolition / Deconstruction,2023,"49.2560024, -123.1240491",V5Z 1V2
Addition / Alteration,2022,"49.2857132, -123.1181517",V6C 2B5
Addition / Alteration,2022,"49.2857716, -123.1315076",V6E 2B8
Addition / Alteration,2023,"49.2646059, -123.0915058",V5T 1N8
Addition / Alteration,2022,"49.2924997, -123.1420333",V6G 1L5
Salvage and Abatement,2023,"49.2599543, -123.1768269",V6K 2Y2
Addition / Alteration,2022,"49.2861265, -123.1198029",V7X 1K8
Addition / Alteration,2022,"49.2857132, -123.1181517",V6C 2B5
Salvage and Abatement,2022,,N/A
Addition / Alteration,2022,"49.2862477, -123.1159057",V6C 1E1
Salvage and Abatement,2022,"49.2459302, -123.0562016",V5N 5J1
Addition / Alteration,2022,"49.2866198, -123.1170233",V6C 3A6
New Building,2023,"49.2163568, -123.1521127",N/A
Addition / Alteration,2022,"49.2866494, -123.125227",V6E 4A2
Addition / Alteration,2023,"49.2382796, -123.034072",V5R 4V5
Addition / Alteration,2023,"49.2644601, -123.032879",V5M 1S9
Addition / Alteration,2022,"49.2636528, -123.1096722",V5Y 3E7
Addition / Alteration,2022,"49.2894014, -123.1308294",V6G 3C9
Addition / Alteration,2022,"49.2905353, -123.1355427",V6G 1H2
Addition / Alteration,2023,"49.2697896, -123.0439287",V5K 4E1
Addition / Alteration,2017,"49.2402225, -123.1018903",V5W 2R2
New Building,2018,"49.2452049, -123.0540503",V5R 1R6
Addition / Alteration,2017,"49.287517, -123.1172287",V6C 0C5
Addition / Alteration,2017,"49.2599362, -123.2090255",V6R 2Y3
Demolition / Deconstruction,2018,"49.2535815, -123.0972238",V5V 1J5
Salvage and Abatement,2017,"49.2535815, -123.0972238",V5V 1J5
Addition / Alteration,2020,"49.2643577, -123.1688796",V6K 2G6
Addition / Alteration,2017,"49.2865896, -123.1209561",V7X 1J1
Addition / Alteration,2017,"49.2624692, -123.1447213",V6J 2A6
Addition / Alteration,2017,"49.2838942, -123.1131109",V6B 6H5
Addition / Alteration,2017,"49.2342514, -123.0888907",V5W 3B2
Addition / Alteration,2017,"49.2637295, -123.1439294",N/A
New Building,2018,"49.2121161, -123.0579469",V5P 2N4
Demolition / Deconstruction,2018,"49.2121161, -123.0579469",V5P 2N4
New Building,2018,"49.250911, -123.1185689",V5Z 2A5
Addition / Alteration,2017,"49.2611592, -123.1712452",V6K 2R3
Addition / Alteration,2017,"49.2777747, -123.065875",V5L 4E5
Addition / Alteration,2017,"49.2630078, -123.1453338",V6J 2A4
Addition / Alteration,2017,"49.2649384, -123.1277952",V6H 1B3
New Building,2023,"49.2231736, -123.1043545",V5X 1G3
Addition / Alteration,2022,"49.2653031, -123.1040328",V5T 1J4
