TypeOfWork,IssueYear,geo_point_2d,PostalCode
Addition / Alteration,2019,"49.2846812, -123.1118936",V6B 1M1
New Building,2019,"49.2429374, -123.0637244",V5N 3A6
Addition / Alteration,2019,"49.2898339, -123.1430636",V6G 1T6
Addition / Alteration,2019,"49.2680091, -123.06516",V5N 1H4
Addition / Alteration,2019,"49.2531571, -123.1928288",V6S 1J9
Addition / Alteration,2019,"49.2851696, -123.1156028",N/A
Addition / Alteration,2019,"49.2520567, -123.0831039",V5V 1S6
Addition / Alteration,2019,"49.2368609, -123.0861184",V5W 3H3
Addition / Alteration,2019,"49.2809485, -123.108388",V6B 1R8
Salvage and Abatement,2019,"49.2233201, -123.0492894",V5S 2W2
New Building,2019,"49.2578227, -123.082501",V5T 2N9
Addition / Alteration,2019,"49.2639113, -123.2102553",N/A
New Building,2019,"49.2218517, -123.0678853",V5P 1X5
New Building,2019,"49.2190454, -123.1855448",V6N 3Y9
Addition / Alteration,2019,"49.2855107, -123.1112509",V6B 1G1
Addition / Alteration,2019,"49.2552152, -123.0740047",V5N 2G8
New Building,2019,"49.212705, -123.0716328",V5P 2L8
New Building,2020,"49.2209161, -123.1781985",V6N 1S3
Addition / Alteration,2019,"49.2825762, -123.0645679",N/A
New Building,2019,"49.2467391, -123.079332",V5V 2L9
New Building,2019,"49.2191169, -123.1049094",V5X 1P8
New Building,2019,"49.2363297, -123.0714561",V5P 3J4
Addition / Alteration,2019,"49.2796658, -123.1339192",V6E 1R9
Addition / Alteration,2019,"49.2888328, -123.1219852",V6E 2K3
Addition / Alteration,2019,"49.2648839, -123.1355743",V6H 3V9
Addition / Alteration,2019,"49.2718978, -123.1518078",V6J 1E5
Addition / Alteration,2019,"49.2296872, -123.0541702",V5R 3B9
Addition / Alteration,2019,"49.2576581, -123.1324491",V6H 1R8
Demolition / Deconstruction,2020,"49.2567525, -123.0533721",V5M 3C5
Salvage and Abatement,2019,"49.2567525, -123.0533721",V5M 3C5
New Building,2020,"49.246518, -123.0795209",V5L 2L9
Addition / Alteration,2019,"49.2607294, -123.1185773",V5Z 4R4
New Building,2019,"49.2326272, -123.1806579",V6N 3J7
Addition / Alteration,2019,"49.2831133, -123.1402892",V6G 1X9
Salvage and Abatement,2019,"49.2214886, -123.0723142",V5P 3K7
Addition / Alteration,2019,"49.2863367, -123.1148555",V6C 1B4
New Building,2019,"49.2327999, -123.1298386",V6M 2A8
Salvage and Abatement,2019,"49.2904117, -123.048346",V5K 1C3
Addition / Alteration,2019,"49.2302329, -123.1362846",V6M 2G9
New Building,2019,"49.2620403, -123.213748",V6R 2R6
New Building,2020,"49.250756, -123.13623",V6H 1Y8
Addition / Alteration,2019,"49.2775798, -123.1134352",V6B 2M1
Addition / Alteration,2019,"49.2635726, -123.1529957",N/A
Addition / Alteration,2019,"49.2419128, -123.0575275",V5N 5J8
Addition / Alteration,2019,"49.2890268, -123.1265641",V6E 4S9
Addition / Alteration,2019,"49.2845565, -123.1183473",V6C 3K4
Addition / Alteration,2019,"49.2865896, -123.1209561",V7X 1J1
Addition / Alteration,2019,"49.2818588, -123.1292598",V6Z 1Y6
Addition / Alteration,2019,"49.2630118, -123.1210731",V5Z 1G8
Addition / Alteration,2019,"49.2151407, -123.1330845",V6P 2J9
Salvage and Abatement,2019,"49.2384798, -123.1504122",V6M 1N5
Addition / Alteration,2019,"49.2476481, -123.1046951",V5V 3G7
Addition / Alteration,2019,"49.2784952, -123.1274915",V6Z 2K5
Salvage and Abatement,2019,"49.2814128, -123.0299388",V5K 2A5
Addition / Alteration,2019,"49.2819468, -123.0715757",V5L 1P4
New Building,2019,"49.2275428, -123.0335601",V5S 3K4
Demolition / Deconstruction,2019,"49.2215732, -123.0870777",V5X 1J6
New Building,2019,"49.2219077, -123.0870111",V5X 1J6
Addition / Alteration,2019,"49.2664074, -123.0844959",V5T 4T5
Addition / Alteration,2019,"49.2599338, -123.0989694",V5T 2G9
Addition / Alteration,2019,"49.2865933, -123.1227839",V6E 4A6
Addition / Alteration,2019,"49.2843244, -123.1197774",V6C 3L2
New Building,2019,"49.2358522, -123.0594129",V5P 1H1
New Building,2019,"49.2174423, -123.0554453",V5S 2L3
Addition / Alteration,2019,"49.2910895, -123.136402",V6G 2L7
New Building,2019,"49.2302719, -123.1873901",V6N 1Y5
Addition / Alteration,2022,"49.2325888, -123.0512402",V5R 3N4
Addition / Alteration,2019,"49.2789626, -123.1338939",V6E 1R7
Demolition / Deconstruction,2019,"49.2638849, -123.0665337",V5N 1S2
Addition / Alteration,2019,"49.2798426, -123.1168812",V6B 6L9
New Building,2019,"49.2136499, -123.1005654",V5X 2J8
Addition / Alteration,2019,"49.2855623, -123.1148625",V6C 1A5
Addition / Alteration,2019,"49.282637, -123.1078704",V6B 0G6
Salvage and Abatement,2019,"49.252233, -123.1888195",V6S 1K8
Addition / Alteration,2019,"49.273378, -123.1008354",V6A 4G2
Addition / Alteration,2019,"49.2841971, -123.1242928",N/A
Demolition / Deconstruction,2019,"49.2152241, -123.0754951",V5P 2H3
New Building,2019,"49.2154343, -123.0755281",V5P 2H3
Addition / Alteration,2020,"49.2658478, -123.1440737",V6J 5E7
Salvage and Abatement,2019,"49.2844173, -123.123936",V6E 1A9
Demolition / Deconstruction,2021,"49.2737146, -123.0742529",V5L 2P9
Addition / Alteration,2019,"49.2630118, -123.1210731",V5Z 1G8
New Building,2021,"49.2471158, -123.1003062",V5V 3S1
Addition / Alteration,2019,"49.2810955, -123.1216408",V6Z 2L2
New Building,2020,"49.2442045, -123.1743968",V6L 2A6
Outdoor Uses (No Buildings Proposed),2019,"49.2726402, -123.1880223",V6R 1B3
Salvage and Abatement,2019,"49.2776286, -123.0768834",V5L 2C3
Addition / Alteration,2019,"49.2853723, -123.123272",V6E 3V7
New Building,2019,"49.2562934, -123.1569321",V6L 1A5
New Building,2020,"49.2583291, -123.0602132",V5N 4W4
Addition / Alteration,2019,"49.2297573, -123.1339802",V6M 2K2
Addition / Alteration,2019,"49.2898339, -123.1430636",V6G 1T6
Demolition / Deconstruction,2019,"49.2824656, -123.0721065",V5L 1P5
