YEAR,TYPE,POSTAL_CODE,Cordinates
2016,Museum/Gallery,V5T 3C7,"49.2653981, -123.1007282"
2016,Museum/Gallery,V6A 1A4,"49.2846363, -123.097645"
2016,Community Space,V5M 3E4,"49.256761, -123.049576"
2016,Museum/Gallery,V6A 1M9,"49.2815282, -123.1043161"
2016,Museum/Gallery,V6B 2M9,"49.2842455, -123.1088083"
2016,Museum/Gallery, V5T1J5,"49.2652632, -123.1019214"
2016,Museum/Gallery,V6A 2R9,"49.2810853, -123.1023067"
2016,Museum/Gallery,V6B 2W9,"49.2766268, -123.1211143"
2016,Studio/Rehearsal,V6P 2N4,"49.2128612, -123.1384686"
2016,Studio/Rehearsal,V5Y 1L6,"49.2644359, -123.106533"
2016,Community Space,V6M 3W9,"49.2331853554205, -123.157092907213"
2016,Community Space,V6K 1B7,"49.2725956, -123.1573621"
2016,Community Space,V6K 4K9,"49.2620553391672, -123.160105613733"
2016,Studio/Rehearsal,V6A 2T9,"49.279824, -123.099729"
2016,Community Space,V5N 4M4,"49.2549423, -123.0660729"
2016,Museum/Gallery,V6H 3S3,"49.271369, -123.135784"
2016,Theatre/Performance,V6G 3E2,"49.298848, -123.133438"
2016,Community Space,V6P 1X9,"49.2144740996897, -123.127481913823"
2016,Studio/Rehearsal,V6E 2C7,"49.283306, -123.134145"
2016,Studio/Rehearsal,V6P 4B7,"49.203966, -123.1300261"
2016,Studio/Rehearsal,"er, BC,","49.2703062, -123.0770081"
2016,Museum/Gallery,V5T 1E1,"49.26761, -123.0921743"
2016,Museum/Gallery,V6T 1Z2,"49.2683878, -123.255944"
2016,Community Space,V6N 4C6,"49.2236866, -123.1989191"
2016,Studio/Rehearsal,V6A 3T8,"49.2689417, -123.0788058"
2016,Community Space,"ver, BC","49.282643, -123.094341"
2016,Other,V6H 3S1,"49.270154, -123.133047"
2016,Theatre/Performance,V6B 5G1,"49.279881, -123.12051"
2016,Studio/Rehearsal,V5L 1S1,"49.2825401, -123.0581806"
2016,Studio/Rehearsal,V5L 1M5,"49.2830062, -123.0656267"
2016,Studio/Rehearsal,V6A 2H2,"49.2753465, -123.0803477"
2016,Studio/Rehearsal,V6G 3L2,"49.29119, -123.130114"
2016,Museum/Gallery,V6H 4G9,"49.2701374, -123.1337947"
2016,Museum/Gallery,V6J 1R2,"49.2652275, -123.0917358"
2016,Community Space,V5K 3N7,"49.285856, -123.042747"
2016,Cafe/Restaurant/Bar,V5L 1J2,"49.284993, -123.0650265"
2016,Studio/Rehearsal,V6A 3P2,"49.2761045, -123.0786643"
2016,Cafe/Restaurant/Bar,V6B 1Y4,"49.2828775, -123.1151754"
2016,Community Space,V6A 3T1,"49.2807361611339, -123.084089333259"
2016,Museum/Gallery,V6A 1S9,"49.2806995, -123.1031317"
2016,Theatre/Performance,V5N 1W1,"49.2620042, -123.0704852"
2016,Community Space,V6B 6G1,"49.277049, -123.109143"
2016,Theatre/Performance,V6T 1Z2,"49.267411, -123.256613"
2016,Community Space,V6A 3K1,"49.27895, -123.084646"
2016,Museum/Gallery,V6B 3J5,"49.283183, -123.114585"
2016,Community Space,V6P 4N2,"49.204487, -123.134666"
2016,Studio/Rehearsal,"er, BC,","49.2695868, -123.0965625"
2016,Studio/Rehearsal,V6H 3R9,"49.2719547, -123.134239"
2016,Studio/Rehearsal,V5R 1V6,"49.244559, -123.0483891"
2016,Theatre/Performance,V6K 2L2,"49.2630518, -123.1765215"
2016,Museum/Gallery,"ver, BC","49.294408, -123.137914"
2016,Studio/Rehearsal,V6H 3R8,"49.269883, -123.135137"
