Coordinates
"49.285563, -123.142386"
"49.287533, -123.124284"
"49.284804, -123.099243"
"49.238647, -123.132556"
"49.239524, -123.133001"
"49.299207, -123.120828"
"49.250885, -123.042243"
"49.271158, -123.120188"
"49.271061, -123.122832"
"49.287548, -123.125581"
"49.274768, -123.118877"
"49.261805, -123.066068"
"49.273272, -123.157342"
"49.237275, -123.097212"
"49.279148, -123.121462"
"49.282599, -123.121271"
""
"49.273288, -123.074147"
""
""
"49.215366, -123.087683"
"49.252022, -123.044155"
"49.247555, -123.097036"
"49.257805, -123.087206"
"49.288612, -123.057441"
"49.236477, -123.082243"
"49.290946, -123.130378"
"49.275212, -123.132059"
"49.288861, -123.109588"
"49.238041, -123.128435"
"49.238871, -123.130724"
"49.239068, -123.134604"
"49.281413, -123.122005"
"49.286143, -123.123505"
"49.272017, -123.145862"
"49.313328, -123.142831"
"49.27753, -123.148075"
"49.275545, -123.143707"
""
""
"49.290167, -123.129083"
"49.291813, -123.131793"
"49.291273, -123.1275"
""
"49.2726, -123.115856"
"49.251186, -123.043728"
""
"49.268961, -123.1349"
"49.263608, -123.032104"
""
"49.244637, -123.1518"
"49.290948, -123.123173"
"49.27978, -123.091546"
""
"49.279584, -123.105903"
""
"49.301064, -123.117"
"49.285718, -123.118287"
"49.260111, -123.122523"
""
"49.249072, -123.075344"
"49.258316, -123.031001"
""
"49.273084, -123.102799"
"49.280699, -123.103132"
""
"49.251147, -123.077956"
""
"49.275561, -123.1376"
"49.279416, -123.1061"
""
""
"49.282788, -123.107762"
"49.287868, -123.116324"
""
""
"49.295631, -123.140744"
""
"49.279663, -123.114234"
"49.285762, -123.123947"
""
"49.285347, -123.1221"
""
"49.285612, -123.0626"
"49.281411, -123.087887"
"49.282685, -123.1181"
"49.287753, -123.142"
"49.289775, -123.116774"
"49.245084, -123.107076"
"49.223788, -123.101717"
""
"49.285368, -123.1221"
"49.252777, -123.0662"
""
"49.288293, -123.118824"
"49.289661, -123.119663"
""
""
"49.276449, -123.1289"
"49.277092, -123.129766"
"49.285762, -123.123947"
""
"49.282594, -123.1181"
"49.277893, -123.097363"
"49.274429, -123.13875"
"49.25851, -123.092673"
"49.285762, -123.123947"
"49.210272, -123.1158"
""
""
"49.227634, -123.0444"
"49.28137, -123.1197"
"49.279357, -123.1151"
""
"49.281374, -123.1197"
"49.210534, -123.117"
"49.259128, -123.100775"
"49.259491, -123.100724"
"49.261477, -123.100626"
"49.262667, -123.102565"
"49.262667, -123.102565"
"49.263363, -123.100597"
"49.27062, -123.099713"
"49.270695, -123.098"
"49.270875, -123.0987"
"49.270913, -123.098821"
"49.300834, -123.117473"
"49.239068, -123.134604"
"49.239068, -123.134604"
"49.279663, -123.114234"
"49.281347, -123.130676"
"49.210258, -123.1157"
"49.210272, -123.1157"
"49.27062, -123.099713"
