Coordinates,Count
"49.2683007895461, -123.147034792298",3
"49.2326322948047, -123.062518863948",1
"49.2371078116589, -123.102045349113",1
"49.2610530782536, -123.139634617934",1
"49.2824599068743, -123.071905101629",1
"49.2814356024328, -123.131258578721",1
"49.2736885096853, -123.081864084394",1
"49.2668243278334, -123.142831149022",2
"49.2805025553857, -123.047278980175",1
"49.281412637516, -123.050869985854",1
"49.2643963753446, -123.172503069303",1
"49.2635776285718, -123.211819399282",7
"49.2700432142699, -123.087203948391",1
"49.2620114020637, -123.071116103566",1
"49.2622272291456, -123.034946930973",2
"49.2648707331144, -123.145982112563",3
"49.2733258427609, -123.069172810607",7
"49.2592556141567, -123.139153845993",2
"49.2474752142146, -123.10300533009",1
"49.2474773685185, -123.103111271079",1
"49.2307129165814, -123.066007646834",7
"49.2652259349039, -123.100378905927",11
"49.2828715018229, -123.114229991537",4
"49.2487403476828, -123.184839068831",1
"49.2740844665983, -123.100493387588",1
"49.2673743471859, -123.096871617259",3
"49.2832492187883, -123.088748074541",3
"49.2814175249578, -123.054911607757",1
"49.2685878441934, -123.166018705731",1
"49.2644943744872, -123.17758204574",1
"49.2557274650865, -123.115481735187",2
"49.280346924616, -123.079506971718",6
"49.2638949971706, -123.175058923011",1
"49.2342542839622, -123.154769495345",1
"49.2586374373929, -123.099674835766",2
"49.2808772819499, -123.056020737224",7
"49.2293445851648, -123.154834289099",1
"49.2392397186656, -123.064995292052",3
"49.2815239492945, -123.106237233437",3
"49.2773033018449, -123.114832291449",2
"49.2799403687721, -123.065359231532",1
"49.2890051115596, -123.131006004505",1
"49.2828693991379, -123.103936741754",7
"49.2829663244067, -123.101187756439",8
"49.2829688415575, -123.101394699119",8
"49.2759223220914, -123.069874649498",3
"49.2578736059165, -123.04676375331",3
"49.2806793480864, -123.102125555033",19
"49.2485799314362, -123.101465881118",4
"49.2743426254153, -123.069960499017",2
"49.253280825683, -123.101262724669",1
"49.2644885226001, -123.177292434014",2
"49.2820060620239, -123.072283576888",3
"49.2852301473268, -123.127382914415",1
"49.2797560019035, -123.100566616865",5
"49.2841735808465, -123.1092339265",1
"49.2821072095572, -123.10372797221",1
"49.2745158033716, -123.069179299981",1
"49.2828704826813, -123.096570813897",4
"49.2828722010046, -123.096667342076",4
"49.261605898633, -123.069354342754",7
"49.2699148523925, -123.103117829898",1
"49.278790467882, -123.130299135331",1
"49.2816849071254, -123.107135596035",12
"49.2804515402823, -123.089990762057",5
"49.2645376442443, -123.181029061241",1
"49.2386694125223, -123.050466419787",1
"49.290231453698, -123.131785569508",1
"49.2906119866483, -123.137141470731",3
"49.2580750154483, -123.078071003535",1
"49.2813931351265, -123.02521786321",10
"49.2827086472896, -123.052254424155",1
"49.2909918181981, -123.137405054545",2
"49.2635541754772, -123.106166323994",3
"49.2564486507691, -123.108834758639",1
"49.2868152543561, -123.131237009719",1
"49.2608039525937, -123.100670322459",25
"49.2752030898247, -123.048320634244",1
"49.2701488219904, -123.056997410937",10
"49.2856041478432, -123.127969783002",1
"49.2859871247517, -123.128562747934",1
"49.2892581658509, -123.120971525984",1
"49.2357083627049, -123.133060093941",1
"49.2678760061579, -123.153300753876",9
"49.276462716408, -123.099512707473",5
"49.2723522376171, -123.076373775945",1
"49.2861910793969, -123.116688991492",1
"49.2862377712472, -123.116771194623",1
"49.2459472613666, -123.049194174356",1
"49.2821163348912, -123.106306581068",1
"49.2462526664279, -123.050138182286",2
"49.263675079096, -123.114167338892",8
"49.2684188617658, -123.154647615682",1
"49.2730002694394, -123.056136682813",9
"49.2025136310246, -123.127363938143",1
"49.2419044716808, -123.057598000099",5
"49.2578795976417, -123.069487362523",9
"49.2809204909941, -123.062466972877",2
"49.2835570737963, -123.087895291798",1
"49.2835727357937, -123.08799982092",1
"49.270833657241, -123.077055711316",6
"49.2166320970707, -123.076814152361",1
"49.2559864532653, -123.089366425523",6
"49.2353294086496, -123.133654139435",1
"49.2722346412804, -123.151936629376",1
"49.2722641096056, -123.151963938998",1
"49.2632951228211, -123.108537937587",9
"49.2719910970529, -123.155211725749",6
"49.2639731036825, -123.178264470265",6
"49.24406032208, -123.06211583849",8
"49.2607987650305, -123.098009861538",1
"49.2642395552584, -123.101410788751",12
"49.2205402517255, -123.065457411224",2
"49.2638907819441, -123.067328277609",1
"49.2732673244212, -123.057024951659",5
"49.2620434967262, -123.074401848473",5
"49.2867798515878, -123.135919538103",1
"49.2809075675318, -123.068037523175",2
"49.2636004052204, -123.110178821399",1
"49.2808523591916, -123.099226930946",12
"49.2693586717144, -123.073292737618",1
"49.2269873243391, -123.155522463945",2
"49.2714594764082, -123.173963838469",2
"49.265664487708, -123.080328597596",2
"49.2664896191063, -123.11863704024",1
"49.2832382816296, -123.106388674552",18
"49.2635987913806, -123.108930476461",5
"49.2658250566769, -123.142899038887",2
"49.2621745165116, -123.091497961683",1
"49.2763655863132, -123.093935719729",7
"49.2763909729096, -123.093822318016",7
"49.2782804098399, -123.098134207837",7
"49.2399660211165, -123.036545016808",2
"49.2837922685322, -123.100994481945",1
"49.2770683545316, -123.082240705036",7
"49.2668431608834, -123.109104764114",1
"49.2558319403164, -123.090363698134",1
"49.2691983009798, -123.080838255721",3
"49.258118728465, -123.083193344346",1
"49.264228407453, -123.138128461105",1
"49.2293498361964, -123.091058419078",6
"49.2633523998186, -123.14316109959",2
"49.2626641550606, -123.038829429327",1
"49.2634024972259, -123.146225705905",5
"49.2682417724637, -123.143854513856",1
"49.2540873840284, -123.096929288893",1
"49.2440865701763, -123.101721153854",4
"49.2389019096973, -123.051025866026",3
"49.2485111338868, -123.101447712689",1
