Bikeway_Type,Year of Construction,Geom
Painted Lanes,2010.0,"[-123.1065339208801, 49.270224571198575], [-123.1066782685087, 49.27022720224152], [-123.10669393597271, 49.270227490913356]"
Protected Bike Lanes,2006.0,"[-123.1100012733073, 49.279490777669444], [-123.11055085381177, 49.27985058753457]"
Protected Bike Lanes,2017.0,"[-123.09491691419431, 49.26762995269784], [-123.09490037791394, 49.26762700416184], [-123.09470147232608, 49.26759147890688], [-123.09466889727797, 49.26758191851804], [-123.09463865081545, 49.26756950833263], [-123.09461131071359, 49.26755448445312], [-123.09449159661567, 49.26747752234359], [-123.094409571814, 49.26741983211822], [-123.09432108521601, 49.267366389245346], [-123.09428926206479, 49.26735455324939], [-123.09425489868184, 49.26734629940629], [-123.09421893156704, 49.267341851830196], [-123.0933802582493, 49.267239240799675], [-123.09333620035984, 49.26722591402898], [-123.09329614203114, 49.267207980268736], [-123.09326119485675, 49.26718593875904], [-123.09323233318199, 49.26716040219086], [-123.0932103597112, 49.26713208144147], [-123.09306280704638, 49.26692278312686], [-123.0930597408602, 49.2667936549976]"
Painted Lanes,2006.0,"[-123.11132334144823, 49.24484505444466], [-123.11133751090165, 49.24485177462351], [-123.11136607731736, 49.24486495839243], [-123.11140033909523, 49.24488013270537], [-123.11141959288484, 49.24488839785045], [-123.11143504540084, 49.24489501783227], [-123.11147008050911, 49.24490947445825], [-123.11150557761066, 49.24492346647352], [-123.11154141191332, 49.244937099242414], [-123.11157757224262, 49.24495029181826], [-123.11157761211935, 49.24495030617212], [-123.11161414665382, 49.24496309898664], [-123.11161419615424, 49.24496311602977], [-123.11165100864636, 49.24497547769229], [-123.11165104439725, 49.244975490251086], [-123.11168822416059, 49.24498742427309], [-123.11172572043981, 49.24499896668431], [-123.11172576031053, 49.24499897833956], [-123.11176350983044, 49.245010096818], [-123.11180160045765, 49.24502076249365], [-123.11184002118148, 49.24503096728114], [-123.1118670676575, 49.245037807158255], [-123.1118786703983, 49.2450407418623], [-123.11191756590553, 49.24505005833444], [-123.1119354653357, 49.24505415721285], [-123.11195667219928, 49.245059013880294], [-123.11198446819982, 49.24506494448481], [-123.11199611802479, 49.24506742936964], [-123.11203567550956, 49.24507539497545], [-123.11206154439883, 49.245080340652926], [-123.11207545887329, 49.24508299154394], [-123.11211546227518, 49.24509006706107], [-123.11215558693266, 49.24509668458917], [-123.11215563228916, 49.245096691741324], [-123.11219593315894, 49.24510285122686], [-123.11219598538722, 49.245102859271846], [-123.11223649683323, 49.24510856787744], [-123.11227719138977, 49.24511383192624], [-123.11228872322471, 49.24511516820469], [-123.11231798778289, 49.24511855884619], [-123.11234788803307, 49.24512175096689], [-123.11235884378422, 49.24512290969288]"
Painted Lanes,2008.0,"[-123.11645649679339, 49.227003863893536], [-123.11647470335559, 49.226551680599016]"
Protected Bike Lanes,2012.0,"[-123.11779550787836, 49.2169489229079], [-123.11809812665369, 49.21695065224073]"
Protected Bike Lanes,2006.0,"[-123.10330851193888, 49.27744276221709], [-123.10330997737606, 49.27744269074446], [-123.10332481045484, 49.27744196506298], [-123.10347074510267, 49.277434823628695], [-123.10347085235745, 49.277434831628305], [-123.10347090181982, 49.2774348162922], [-123.10356020209723, 49.2774406695155], [-123.10356024747273, 49.277440672173405], [-123.10365945645368, 49.277446602792736], [-123.10365950457889, 49.277446605448105], [-123.10384506018863, 49.27745615453528], [-123.10406809093347, 49.27746872254456], [-123.1045535828092, 49.27749552798663], [-123.10483114418128, 49.27751506950807], [-123.10487750499378, 49.27751874424841], [-123.10492650183974, 49.277522627063796], [-123.10504771603746, 49.27753393901448], [-123.1051182382195, 49.277540723813345], [-123.10515884032411, 49.27754462945863], [-123.1052777875057, 49.277555943231064], [-123.10538495973512, 49.277567531179734], [-123.10543207445636, 49.27757332877294], [-123.10551206359057, 49.27758315945751], [-123.10561401120661, 49.277597185161625], [-123.10569145389445, 49.27760880719157], [-123.10573195212852, 49.27761488416789], [-123.1057751287441, 49.277621679192464], [-123.10584671937787, 49.2776329457683], [-123.10595956283284, 49.277652718103816], [-123.1060089977647, 49.277662043044245], [-123.10606821325085, 49.27767321289332], [-123.10618151203886, 49.27769558240314], [-123.10628563562095, 49.277717530271964], [-123.10632351967897, 49.27772582136115]"
Painted Lanes,2018.0,"[-123.03377496207221, 49.257739086089416], [-123.0337749967495, 49.25773351264523], [-123.03377824055406, 49.257248846894505]"
Protected Bike Lanes,2003.0,"[-123.07445253881687, 49.2110561490838], [-123.07445247152214, 49.2110561374333], [-123.07408674504455, 49.21105296517322], [-123.0739503563939, 49.211051206738965]"
Painted Lanes,2003.0,"[-123.06826822604167, 49.26314305916231], [-123.06740593148108, 49.262797261717104], [-123.06614679052485, 49.262292023476654], [-123.06614674928612, 49.262292019002665]"
